,Unnamed: 0,comment
236,236,Kok by chi keik gada ig or shope onlinenya yak
237,237,"hah jastip 520? Dikita cuma 350 kak , open list setiap hari dari jakarta selatan."
238,238,We made it ka Tasyi❤️
239,239,"Sumpah gua kalo beli makanan yg hits2 skrg liat review ka tasyi , dia bnr2 se detail itu kl nge review😁😁😁"
240,240,"Ka Tasyi makin ngereview yg kurang, makin nada bicaranya lembut, keliatan bgt hatinya ga tega :) reaksi spontan biasanya ga bsa dibuat2... jd makin syg hhe"
241,241,WE MADE IT🤍🤍🤎🤍🤎🤍🤎🤍🤎🤍🤎 CONGRATS KAK TASYI SENENG BGT!!! Ngikutin kak tasyi dari jaman baheula bgt huaaa so proud of you kak🤎🤍
242,242,Gw saranin kalian nnton nya pake kecepatan 1.5 pas bagian dia nilai yg studio coklat. Di jamin ngakak🤣🤣🤣
243,243,"By chi keik kalo mau order gimana caranya ya, di cari di market place ko gak ada, di ig juga gak ada"
244,244,Trending 1 nii Ci
245,245,Udah ketebak don bake shop yg juara atu emang endullll
246,246,Syelamaaat kak tasyii.. akhirnya trending 1 ya ges... Alhamdulillah.. seyamangaat teruuus kakak....
247,247,WE MADE IT!
248,248,WE MADE IT KAAKK SELAMAT YAA TRENDING 1 🎉
249,249,Betulll donebakes itu coklat bawahnya ketebelaaan udah nyoba..
250,250,Yg menang lg viral bgt don bakshop
251,251,Cara Beli by chi keik dimana ya?
252,252,Gw suka kalau dia udh review makanan 😂😂😂
253,253,Keren bangettttt
254,254,Battle ayam pop ada gaksih?
255,255,We made it
256,256,"Heavenlytest emang manis bgt isiannya jd eneg. Btw yg 125k itu tipis kecil bgt aku soalnya udah beli, kalo yg besar 315k ."
257,257,finally kak tasyiii trending 1
258,258,Trending 1 loh kak tasyi..
259,259,Tasyi made it 🎉🎉🎉🎉
260,260,.
261,261,Selamat trending 1
262,262,We made it!!!! Aaaa
263,263,WE MADE IT 💫
264,264,"Walaupun gk bisa beli tapi sudah trwakilkan rasanya di video ini,mna yg endolita mana yg rasanya biasa aja.. mksh k tasyi.. ❤❤"
265,265,Kakk tasyi battle kopi saset dongg😊😊😊
266,266,gils don bakeshop ..keren
267,267,DON BAKESHOP UDH ADA LOGO HALALNYA BLM...RHUM NYA GIMN DI SANA???
268,268,"we made it kak tasyiiiiiiiiii. happy for youuuu...... argghhh dari jaman rambut masih pirang i nonton loh wkwkwkkw yok bisaa 5 juta subs 8juts subs 10juta subsss. mari kita rayakan setiap momentnya lavvvvv~~~~ btw i salah satu yg survive menghadapi gerd berkat video crystalline, secinta itu semua informasi dari video kak tasyiiiii."
269,269,Selamat atas trending 1 nya🎉🎉
270,270,❤❤❤
271,271,"Ka taciii keren banget trending 1, selamat ya kaa ❤"
272,272,waah trending 1🎉
273,273,Subtitlenya pas di menit akhir error kak 😂
274,274,🎉 ternding 1
275,275,"Congratss ka tasyi, tranding 1 🎉🎉🎉"
276,276,"Wihh keren bgt ka tasyi trending 1 woii, finallyyy yeayy"
277,277,We Made It
278,278,you deserve it kk tasyi❤ we made it🥰🔥🔥🔥🔥
279,279,semangat tasyiiiii❤
280,280,Congrats ka tasyi 🎉🎉
281,281,Gilee trending 1
282,282,Kak tasyi battle IKAN SARDEN dongss🎉🎉🎉❤❤❤
283,283,KA TASYII UDAH PERNAH BATTLE NUGGET BELUM? COBA BATTLE NUGGET DONG KAKKK
284,284,Wow trending 1🎉
285,285,CONGRATS TRENDING 1
286,286,"Ka kalau review makanan gojek, review flanana pisang ka, enak ka banana nuggetnya"
287,287,Ada recap nya ga sih ?
288,288,We Made it
289,289,Trending 1 menyalah banget ❤️‍🔥
290,290,we made it kakk
291,291,"Tranding 1 ,maasyaaAllah ❤"
292,292,kunafa sama kataifi itu sama?
293,293,"Wihhhh, kak tranding satu lohh"
294,294,We made it
295,295,Trending 1😊
296,296,Slmt KK tranding 1❤🎉🎉🎉
297,297,aaaa akun nya ketemu lagii udah lama kangen liat bettle nyaa tapi lupa akun nyaa😓
298,298,WE MADE IT
299,299,"Waaaah kak tasyi tranding 1, congrats kak ❤"
300,300,keren kak saya jadi gk sedih ma beli no 2 murah kali
301,301,"We Made it 💞💞💞💞💞
Congratulation kaaa bisa tranding 1"
302,302,We made it!!!
303,303,WE MADE IT❤❤❤🎉🎉🎉
304,304,Menyala kak Tasyi🔥 trending 1
305,305,🎉 congrats kak tasyiiii we made itttt🎉🎉🎉🎉🎉
306,306,YANG PALING AKU TUNGGUIN!!!!😍
307,307,We made it
308,308,ada yg tau ig bychikeik? mau mampir
309,309,"Yeayy kak, trending 1."
310,310,We made it trending 1 🎉❤
311,311,Studio coklat udah pernah direview kak tasyi kan ya yang makanan viral ituu
312,312,We made it ka tasyiiiiii 🎉🎉🎉❤❤❤
313,313,Kakk coklat dubainya Becca bakehouse jga enak loh tolong di review dooong
314,314,MasyaAllah Tasyi...... Tabarakallah. Ntah apa aku aja disini yg nangis haru gara2 Tasyi trending 1. Ya Allah masyaAllah.... Selamat
315,315,PLISS KASIH TAU AKU GIMANA CARA BELINYAA GA NGERTII 😭
316,316,Food blogger tebaik dan terjujur🎉🎉
317,317,We made it kak tasyiiiiii
318,318,Becca's punya dong
319,319,Kiw trending 1
320,320,We made it....🎉❤
321,321,Sukses selalu kk tasyi
322,322,Battle nugget dong kaaaak
323,323,Selamat kak tasyi..
324,324,"Trending kak Tasyi, no 1 🥳🎉"
325,325,"Kataifi adalah bahan utama dalam pembuatan kunafa 
Kunafa adalah nama hidangan penutup dari timur tengah 
Jadi selama ini salah bilang isinya coklat Dubai adalah kunafa yg bener kata kak tasyi ini kataifi atau adonan pastry yg diiris tipis seperti bentuk bihun"
326,326,number one #1 kak tasyi terrrterr pokoknya mah
327,327,we made it❤
328,328,"Kak tasyi mah chef sih
Bukan lg home cooking queen
Angkat tangan
Keren banget lidahnya
Plg jenius dari semua yg aku kenal
Tetep humble ya kk"
329,329,🎉🎉🎉🎉 we made it ❤ selamat trending 1 kak tasyi di tengah2 perbolaan yg panas 😊😊
330,330,"sebenarnya aku ga suka makan coklat2an, cuma seneng aja liat battle makanan nya ka tasyi wwkkwk"
331,331,trending satuuuu
332,332,Kak tasyi trending 1 😍
333,333,Yesssss congratss tasyiii
334,334,we made it❤️❤️❤️❤️
335,335,Di akhir sub nya ga singkron
336,336,wahhhh trending satuuu🎉🎉🎉🎉
337,337,donbake beneran enak bgt sih🤩
338,338,We Made it ❤
339,339,We Made it🎉🎉
340,340,We made it! Tranding 1 wuhuuuuu
341,341,Aaa selamat ka tasyii tranding 1…semangat teruss yaa bikin konten nya… teruslah berbuat baik… seneng banget ngeliat konten2 kaka… lopyuuu❤❤🎉🎉🎉🎉🎉
342,342,"yah becca’s ga masuk, dia juga bnyak yg review lebih enak dri donbakes"
343,343,trending no. 1 kakk
344,344,finally congrats ka tasyiiiii! you made it!🫶🏻✨
345,345,Battle makanan terbaik emang cma kk tasyi penilaiannya bener2 jujur dan jelas wajar jdi tranding 1
346,346,Battle mie mie rasa koreanan dong kak samyang atau sedap korean korean gitu biar dapet yang harganya affordable tapi enak
347,347,Alhamdulillah kak
348,348,trending 1🥺 WE MADE IT!!
349,349,trending 1 ciii
350,350,We made it guyss
351,351,seruuuuw bgt🤩
352,352,Tumben trending 1
353,353,we made it🩵
354,354,Moq bs sedetail itu sih k tasyi mantepp bgt🎉🎉🎉🎉
355,355,"Kak review merk keju mozarella dong, semua merk keju mozza kak"
356,356,"Kak review merk keju mozarella dong, semua merk keju mozza kak"
357,357,"Kak review merk keju mozarella dong, semua merk keju mozza kak"
358,358,by chi keik beli dimana ya? nyari kok gak ketemu
359,359,"We made it ,Selalu suka kalau ka tasyi buat konten battle❤"
360,360,Udah aku tebak pasti yg juara 1 don bakeshop soalnya liat review orang2 kaya enak bgt daripada fix dubai aslinya
361,361,trending 1🎉
362,362,"our queen of home cooking congrats tranding 1 nyaa, ""WE MADE IT"""
363,363,SERING SERING BATTLE LAGI KA !!!
364,364,Trending 1 🎉🎉🎉🎉
365,365,WE MADE IT!!!!!!✨✨✨ Congratsss kaaaaaa trending 1🥳🥳🥳
366,366,kaa buat lagi dong battle makanan terendah dan tertinggi
367,367,wiihh trending 1🤩
368,368,We MADE IT
369,369,Selamaaat taciiiii❤❤❤❤
370,370,Wow trending 1 kak tasyi
371,371,WE MADE IT💪🏻♥️♥️♥️
372,372,Trending 1 kak
373,373,jadi ngilerrrrr
374,374,Battle martabak asin dan martabak manis
375,375,"We made it
Keren ka tasyi
Treeeending 1"
376,376,Horeeeeeeee WE MADE IT
377,377,WE MADE IT
378,378,WE MADE IT
379,379,WE MADE IT
380,380,WE MADE IT
381,381,We Made It
382,382,Ya nomer 10 bisa jd fomo fomo tok
383,383,We made it kak tasyi .......🎉🎉
384,384,Bikin ngiler aja nih konten... 😂😂
385,385,we made it kak tasyi🥰 congratssssss‼️💥
386,386,WE MADE IT
387,387,TRENDING 1 KAAKKK 🔥🔥🎉🎉🎉
388,388,Tranding 1 waahhhh congratsss kakak cantikkkk Tasyi Athasyia
389,389,battle keju kak
390,390,Keren tasyi
391,391,Wah trending 1
392,392,barakallahu 🎉🎉🎉🥳 Trending #1
393,393,Coba battle nugeet kak TASYIII PLEASEEEE
