,Unnamed: 0,comment
118,118,"don bakershop belom bisa konsistenin ketebelan coklatnya aja si, liat di konten lain coklatnya ada yang tipiss atas ama bawahnyaa, kak tasyi ga beli yang becas jugaa yaa itu"
119,119,"KAK AYO COBA COKLAT DUBAINGA HABIBISWEET BALI , enak juga"
120,120,👍🏼👍🏼
121,121,Battle makanan kaleng
122,122,gila kiting selalu mirip sama yg lagi hype
123,123,Ka tasyi cobain yang dari becca house kata orang orang enak banget sayang di battle ini gada
124,124,"Kayaknya brand nomor 8 pesanannya uda membludak, jadi soal ketebalannya si cokelat ga konsisten alias terburu2"
125,125,"Sayang g ada becca.. Pdhal byk yg blg becca itu enak bgt .. G kemanisan, gurih ."
126,126,Utk harga segitu yagakpapa sih coklatnya tebal 😅 kan ada orang yg emang mau ngincer coklat yg enak juga biar puass gitu loh.. hehe
127,127,Kak bettle roti manis dari semua toko kue atau homebakers TERENAK
128,128,cobain dubai coklatnya elder patisserie jogja dong kak❤
129,129,Seruuu🎉
130,130,😎
131,131,Hihi betol le Janna ckp. Biasa je nyah. MMG x sedap sangat pon. Hihi
132,132,Kak battle stevia dooongg takut manis nya zonk 😢
133,133,Battle mochi dong kaaa
134,134,"maaf oot, kak tasyi katanya ada gerd yak, kok bisa diet yak. tipsnya gimana yak, pengin diet tapi ada gerd jadi takut buat diet :("
135,135,Battle martabak manis dong kak kayak nya seruu tuhh
136,136,aaaa yg becca’s ga masuk ya kak??? Pdhl liat riview orng bagus bagus kak
137,137,SETELAH DI APPROVED KAK TASYI BERAPA NIH DI KASTIL HARGANYA WKWK. NANGIS POLLL 580😭😭😭
138,138,Udh trending 12 loh
139,139,"always detail banget kak tasyi,,, selalu suka.. luph luph"
140,140,Battle per ice cream man kk
141,141,Sibodoh ini katanya no 4 enak bgt pas tau merknya fix trs tbtb bilang fix ga seenak itu gila apa ya ni org dihh
142,142,kak tasyiii bikin resep cheseecuit yg lg virall donggg plis hihi
143,143,padahal gw liat di ig chef donny itu tipis loh coklat atas bawahnya
144,144,"Gimn radany bak hu penasaran ,ok tk subcrib ki .berbagi yaa"
145,145,beccca ga masukkk
146,146,Battle burnt cheesecake brownie kak tasyiiiiii!
147,147,Yaaahhhh becca belum direview padahal enak bgt
148,148,Pemenang kedua beli dimana ya?
149,149,Battle kwasong dong ka
150,150,kak battle dimsum donggg
151,151,Coklat mahal 😅
152,152,9:06 9:08 9:08 9:08 9:09 9:09 9:09 9:09 9:09 9:11 9:11 9:11 9:11 9:11 9:12 9:12 9:12
153,153,by chi keik beli dimana pliss yang tau dm cari ignya gak nemu ☹️
154,154,Hebat sih kak tasyi soal lidah perasa. Tapi yg di compare makanan yg ga terjangkau sayangnya 😢 tempat maupun harga. Ga semua org bisa icip juga. Sekedar ungkapin isi hati aja
155,155,yg nomor 5 isiannya mirip bget sama tai kebo baru
156,156,Wihh ka tasyi skincare sama kaya punya ibu akuu😂❤❤
157,157,Beli cokkat dubai by chi kiek dmna ya?
158,158,Kak mau tau cara beli coklat dubai by chi kiek dmna ya?
